id,customer_name,sentiment,csat_score,date,reason,customer_city,customer_state,channel,response_time,call_duration_mins,center_city,center_state,customer_state_abbrev,month,day
FBC-36099153-d-623362-Ya,Kendricks Fishley,Negative,5.0,2020-10-01,Service Outage,Saint Louis,Missouri,Email,Below SLA,5,Los Angeles,California,MO,10,1
LJO-30059812-N-571022-RM,Sammie Merit,Very Negative,3.0,2020-10-01,Billing Question,Kansas City,Missouri,Web,Within SLA,17,Los Angeles,California,MO,10,1
FYC-63913078-N-452324-eV,Glynnis Olivetta,Neutral,6.0,2020-10-01,Billing Question,Newport News,Virginia,Web,Below SLA,28,Chicago,Illinois,VA,10,1
TFO-70796793-n-455986-Rx,Jessamyn Catto,Positive,7.0,2020-10-01,Billing Question,Anchorage,Alaska,Chatbot,Below SLA,13,Baltimore,Maryland,AK,10,1
NMH-17549107-K-384425-fb,Ellerey Jenno,Neutral,6.0,2020-10-01,Billing Question,Saint Louis,Missouri,Chatbot,Above SLA,17,Los Angeles,California,MO,10,1
TMP-70733078-q-045300-Hx,Maryjo Hencke,Positive,8.0,2020-10-01,Payments,Columbus,Ohio,Call-Center,Below SLA,15,Denver,Colorado,OH,10,1
BQR-98691194-M-450901-e8,Si Mursell,Negative,5.0,2020-10-01,Billing Question,Roanoke,Virginia,Email,Within SLA,43,Los Angeles,California,VA,10,1
UAC-22235771-g-301901-yT,Stillmann Moynihan,Very Negative,2.0,2020-10-01,Billing Question,South Bend,Indiana,Call-Center,Below SLA,42,Chicago,Illinois,IN,10,1
ERQ-95432690-u-680860-e9,Taber Danjoie,Neutral,6.0,2020-10-01,Billing Question,Savannah,Georgia,Email,Within SLA,21,Baltimore,Maryland,GA,10,1
LHV-83974667-D-623716-F5,Liuka Scare,Neutral,6.0,2020-10-01,Billing Question,New Orleans,Louisiana,Web,Within SLA,40,Baltimore,Maryland,LA,10,1
TBT-69676092-p-037438-n8,Kristoffer Pecha,Positive,8.0,2020-10-01,Service Outage,Lexington,Kentucky,Chatbot,Within SLA,25,Los Angeles,California,KY,10,1
UZO-35811101-X-525396-kD,Mitchel Gabbetis,Very Negative,2.0,2020-10-01,Billing Question,Decatur,Georgia,Web,Within SLA,23,Los Angeles,California,GA,10,1
FVJ-37980546-k-759906-Es,Forest Moylane,Neutral,6.0,2020-10-01,Service Outage,Baltimore,Maryland,Email,Above SLA,12,Los Angeles,California,MD,10,1
VVV-86722209-p-122255-cl,Kala Wedgwood,Very Positive,9.0,2020-10-01,Billing Question,San Francisco,California,Email,Within SLA,22,Chicago,Illinois,CA,10,1
TAI-63421468-g-224661-ex,Cleavland Dureden,Very Negative,2.0,2020-10-01,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,18,Baltimore,Maryland,TN,10,1
DSE-95529461-I-157376-kY,Caldwell Malsher,Neutral,6.0,2020-10-01,Billing Question,Tucson,Arizona,Chatbot,Within SLA,14,Los Angeles,California,AZ,10,1
QMI-90718565-U-459649-Yr,Guglielma Board,Negative,6.0,2020-10-01,Billing Question,Minneapolis,Minnesota,Chatbot,Within SLA,7,Baltimore,Maryland,MN,10,1
EWP-66083234-8-763633-D8,Benedicta Castelyn,Neutral,8.0,2020-10-01,Billing Question,Chicago,Illinois,Chatbot,Below SLA,36,Los Angeles,California,IL,10,1
SYC-23741292-x-414936-4X,Costa Samter,Neutral,6.0,2020-10-01,Billing Question,Rochester,New York,Chatbot,Within SLA,6,Denver,Colorado,NY,10,1
ZHW-05667626-8-433973-Tq,Ahmed Presshaugh,Very Negative,2.0,2020-10-01,Billing Question,Fort Wayne,Indiana,Email,Within SLA,36,Baltimore,Maryland,IN,10,1
ASX-79929691-t-993357-vx,Oralle Yanyshev,Very Negative,1.0,2020-10-01,Service Outage,Fairfax,Virginia,Chatbot,Below SLA,26,Los Angeles,California,VA,10,1
TBU-88503174-o-728279-eR,Rudyard Chapelhow,Very Positive,9.0,2020-10-01,Payments,Stamford,Connecticut,Call-Center,Within SLA,30,Baltimore,Maryland,CT,10,1
OWX-08225590-S-187502-Lb,Susana Duly,Very Positive,9.0,2020-10-01,Billing Question,Anaheim,California,Email,Within SLA,32,Los Angeles,California,CA,10,1
RGV-45105049-Z-354443-8o,Edith McCombe,Neutral,6.0,2020-10-01,Service Outage,Arlington,Virginia,Chatbot,Within SLA,14,Los Angeles,California,VA,10,1
IPH-51510870-Q-360802-KO,Melonie Nequest,Neutral,6.0,2020-10-01,Billing Question,Asheville,North Carolina,Call-Center,Within SLA,22,Los Angeles,California,NC,10,1
XQR-93128915-w-318285-AV,Reynolds Hancorn,Neutral,5.0,2020-10-01,Billing Question,Gainesville,Florida,Web,Below SLA,37,Chicago,Illinois,FL,10,1
BFY-70152537-m-302172-Su,Tove Haddleton,Positive,8.0,2020-10-01,Billing Question,Des Moines,Iowa,Email,Below SLA,44,Los Angeles,California,IA,10,1
YZJ-99992399-C-402920-Dn,Harp Cruddace,Neutral,6.0,2020-10-01,Billing Question,Fresno,California,Chatbot,Above SLA,34,Denver,Colorado,CA,10,1
ADS-53199030-B-052642-0q,Sanford Germaine,Very Positive,9.0,2020-10-01,Payments,Shawnee Mission,Kansas,Call-Center,Within SLA,6,Baltimore,Maryland,KS,10,1
DOQ-91252822-u-434294-l7,Wallis Wolver,Neutral,6.0,2020-10-01,Service Outage,San Antonio,Texas,Web,Within SLA,30,Chicago,Illinois,TX,10,1
YXS-80926115-v-635174-1d,Lexine Abramamovh,Negative,5.0,2020-10-01,Billing Question,Saint Paul,Minnesota,Email,Within SLA,12,Baltimore,Maryland,MN,10,1
NAM-60001189-l-732575-4k,Terrijo O Sullivan,Neutral,6.0,2020-10-01,Billing Question,Austin,Texas,Web,Within SLA,42,Chicago,Illinois,TX,10,1
QLI-70288783-4-006791-9w,Isak Stokell,Neutral,6.0,2020-10-01,Billing Question,Richmond,Virginia,Web,Above SLA,44,Denver,Colorado,VA,10,1
GFH-31069057-7-359442-mF,Deedee McDugal,Very Positive,10.0,2020-10-01,Billing Question,Boston,Massachusetts,Chatbot,Within SLA,33,Chicago,Illinois,MA,10,1
OUM-07045363-Y-483908-QA,Stacy Rudsdale,Neutral,6.0,2020-10-01,Payments,Denver,Colorado,Call-Center,Within SLA,15,Los Angeles,California,CO,10,1
XCI-28856365-j-238336-mf,Emilia Sloey,Very Positive,10.0,2020-10-01,Billing Question,Jacksonville,Florida,Web,Within SLA,18,Baltimore,Maryland,FL,10,1
GSK-45379479-y-050641-gH,Shanan Cockarill,Neutral,6.0,2020-10-01,Service Outage,Abilene,Texas,Chatbot,Above SLA,10,Chicago,Illinois,TX,10,1
LUI-53965986-6-488730-Po,Kristian Collcutt,Neutral,6.0,2020-10-01,Billing Question,Houston,Texas,Web,Within SLA,26,Los Angeles,California,TX,10,1
TUW-72106860-E-661728-Ae,Lynnell Brass,Very Negative,4.0,2020-10-01,Billing Question,Dulles,Virginia,Chatbot,Above SLA,38,Baltimore,Maryland,VA,10,1
WWM-32434639-A-746899-Sq,Mackenzie Pedreschi,Very Negative,2.0,2020-10-01,Billing Question,Alpharetta,Georgia,Chatbot,Within SLA,11,Baltimore,Maryland,GA,10,1
POP-91823414-E-073589-29,Powell Duggleby,Positive,8.0,2020-10-01,Payments,Washington,District of Columbia,Call-Center,Above SLA,9,Los Angeles,California,,10,1
QVD-09234169-K-761058-oq,Hilliary Revell,Very Positive,9.0,2020-10-01,Service Outage,Boca Raton,Florida,Chatbot,Within SLA,37,Denver,Colorado,FL,10,1
EPA-45661415-Q-529096-Fi,Marco Hexham,Very Positive,9.0,2020-10-01,Billing Question,Little Rock,Arkansas,Web,Within SLA,17,Los Angeles,California,AR,10,1
FXM-33600611-s-000132-qo,Jennie Strain,Negative,5.0,2020-10-01,Billing Question,Hampton,Virginia,Web,Within SLA,9,Denver,Colorado,VA,10,1
WGY-02763978-M-951672-mj,Berty Hardy-Piggin,Very Negative,3.0,2020-10-01,Billing Question,North Hollywood,California,Email,Within SLA,19,Los Angeles,California,CA,10,1
GIQ-46477326-B-619226-MM,Barbara-anne Gowenlock,Neutral,6.0,2020-10-01,Billing Question,Oklahoma City,Oklahoma,Email,Below SLA,43,Los Angeles,California,OK,10,1
OZA-96056660-u-568186-M7,Quinn Bouskill,Very Positive,9.0,2020-10-01,Service Outage,Saint Louis,Missouri,Web,Within SLA,19,Los Angeles,California,MO,10,1
EUN-49027672-5-008111-Op,Georgeanna Getley,Negative,5.0,2020-10-01,Billing Question,Albuquerque,New Mexico,Call-Center,Above SLA,38,Chicago,Illinois,NM,10,1
PMN-13776831-W-013397-3J,Wilhelmina Bartosik,Negative,5.0,2020-10-01,Service Outage,Laurel,Maryland,Email,Within SLA,10,Los Angeles,California,MD,10,1
KKM-93149176-G-816810-Fa,Oralia Djuricic,Positive,8.0,2020-10-01,Billing Question,Baton Rouge,Louisiana,Chatbot,Within SLA,9,Los Angeles,California,LA,10,1
ADY-50905197-T-362556-D1,Yard Coe,Negative,5.0,2020-10-01,Service Outage,Temple,Texas,Email,Within SLA,25,Baltimore,Maryland,TX,10,1
BQA-40293971-u-238726-TN,Solly Wanjek,Negative,5.0,2020-10-01,Billing Question,Tucson,Arizona,Chatbot,Below SLA,40,Baltimore,Maryland,AZ,10,1
PAU-41308469-C-355805-Ka,Bibby Lawford,Negative,5.0,2020-10-01,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,8,Baltimore,Maryland,,10,1
UXH-87536308-t-272929-V7,Klement Shaplin,Neutral,6.0,2020-10-01,Payments,Akron,Ohio,Call-Center,Above SLA,39,Chicago,Illinois,OH,10,1
FVT-20357984-X-551481-3E,Josee Troppmann,Very Negative,1.0,2020-10-01,Service Outage,Lancaster,California,Web,Within SLA,12,Baltimore,Maryland,CA,10,1
PHA-35097327-P-562424-w5,Amabelle Hearon,Negative,5.0,2020-10-01,Billing Question,Charlotte,North Carolina,Web,Within SLA,8,Baltimore,Maryland,NC,10,1
NPZ-59117542-S-661400-Z1,Cecilla Wase,Negative,3.0,2020-10-01,Billing Question,Erie,Pennsylvania,Chatbot,Within SLA,37,Baltimore,Maryland,PA,10,1
OCE-92475427-h-144243-Ep,Cullen Chiplin,Very Negative,1.0,2020-10-01,Billing Question,New York City,New York,Chatbot,Within SLA,29,Baltimore,Maryland,NY,10,1
SPY-50649762-E-641567-uo,Tandie Lean,Positive,8.0,2020-10-01,Billing Question,Huntsville,Alabama,Chatbot,Below SLA,37,Baltimore,Maryland,AL,10,1
XWB-64573108-2-612296-Vp,Clarke Keywood,Negative,6.0,2020-10-01,Service Outage,Columbus,Ohio,Email,Within SLA,41,Chicago,Illinois,OH,10,1
KTV-25181688-c-629931-B1,Vladamir Coode,Negative,5.0,2020-10-01,Billing Question,Boulder,Colorado,Email,Below SLA,25,Los Angeles,California,CO,10,1
YTD-01259456-i-690352-bL,Saxon Edowes,Neutral,7.0,2020-10-01,Billing Question,Spokane,Washington,Email,Within SLA,10,Baltimore,Maryland,WA,10,1
ZKA-82259271-u-296264-7H,Tremain Franzewitch,Very Negative,2.0,2020-10-01,Billing Question,Louisville,Kentucky,Call-Center,Within SLA,21,Baltimore,Maryland,KY,10,1
UYQ-24655032-u-922183-01,Northrup Freschini,Negative,5.0,2020-10-01,Payments,Lincoln,Nebraska,Call-Center,Above SLA,11,Los Angeles,California,NE,10,1
FRW-08325494-b-496950-FB,Annetta Bucky,Neutral,7.0,2020-10-01,Payments,Birmingham,Alabama,Call-Center,Within SLA,27,Los Angeles,California,AL,10,1
JGS-88991169-1-311889-A7,Trace Daniely,Negative,5.0,2020-10-01,Billing Question,Arlington,Virginia,Web,Within SLA,29,Los Angeles,California,VA,10,1
GAI-99947938-u-458537-K7,Rosette Wyper,Neutral,6.0,2020-10-01,Billing Question,Dallas,Texas,Call-Center,Within SLA,9,Denver,Colorado,TX,10,1
ETQ-26986860-i-547803-sC,Benny Aymes,Negative,5.0,2020-10-01,Billing Question,Washington,District of Columbia,Call-Center,Within SLA,20,Baltimore,Maryland,,10,1
NGS-22867111-Q-627944-ow,Ax Dufour,Negative,5.0,2020-10-01,Service Outage,Atlanta,Georgia,Chatbot,Below SLA,22,Los Angeles,California,GA,10,1
SGY-36039980-D-168675-rQ,Gerard Saladino,Neutral,6.0,2020-10-01,Payments,Santa Barbara,California,Call-Center,Below SLA,40,Chicago,Illinois,CA,10,1
ZOG-28665385-L-340360-Op,Ellen Cuesta,Very Negative,2.0,2020-10-01,Billing Question,Tacoma,Washington,Chatbot,Within SLA,27,Baltimore,Maryland,WA,10,1
CJT-37397193-M-487754-lj,Gordie Overington,Very Negative,2.0,2020-10-01,Billing Question,Albuquerque,New Mexico,Chatbot,Below SLA,22,Denver,Colorado,NM,10,1
UCA-34545422-n-109856-Tu,Bab Oxenford,Very Negative,2.0,2020-10-01,Service Outage,Dayton,Ohio,Chatbot,Within SLA,40,Los Angeles,California,OH,10,1
JSK-74072594-T-557117-Zj,Fan Morat,Very Negative,2.0,2020-10-01,Billing Question,Detroit,Michigan,Web,Below SLA,15,Baltimore,Maryland,MI,10,1
MWK-72445303-3-701954-XE,Modestine De Laspee,Very Positive,9.0,2020-10-01,Billing Question,Minneapolis,Minnesota,Chatbot,Within SLA,9,Denver,Colorado,MN,10,1
DZM-30452918-T-967112-5J,Norry McTerrelly,Positive,7.0,2020-10-01,Billing Question,Miami,Florida,Chatbot,Within SLA,7,Los Angeles,California,FL,10,1
FAZ-63613296-P-985504-86,Lev Scane,Negative,6.0,2020-10-01,Payments,Peoria,Illinois,Call-Center,Within SLA,11,Los Angeles,California,IL,10,1
XFX-60903333-8-662239-lP,Waylon Cowgill,Negative,5.0,2020-10-01,Service Outage,Pittsburgh,Pennsylvania,Chatbot,Within SLA,37,Los Angeles,California,PA,10,1
SIY-34577903-Z-394313-zY,Mara Streight,Neutral,6.0,2020-10-01,Payments,Bridgeport,Connecticut,Call-Center,Within SLA,19,Los Angeles,California,CT,10,1
QID-16099919-z-498596-tJ,Novelia Mantione,Neutral,5.0,2020-10-01,Billing Question,Orlando,Florida,Web,Within SLA,25,Chicago,Illinois,FL,10,1
DGT-37906601-3-300697-nm,Della Cleyne,Negative,5.0,2020-10-01,Billing Question,Boise,Idaho,Web,Within SLA,40,Los Angeles,California,ID,10,1
CSY-68923724-q-698580-hI,Dolores Leeves,Neutral,6.0,2020-10-01,Payments,Fort Lauderdale,Florida,Call-Center,Below SLA,43,Baltimore,Maryland,FL,10,1
KHK-41167259-d-247049-Vc,Elsworth Lefeaver,Negative,5.0,2020-10-01,Billing Question,Lincoln,Nebraska,Web,Within SLA,24,Los Angeles,California,NE,10,1
EKJ-73106260-e-548920-ms,Alfy Oldland,Negative,5.0,2020-10-01,Billing Question,Indianapolis,Indiana,Chatbot,Within SLA,34,Los Angeles,California,IN,10,1
XUJ-05912534-L-005596-Mz,Paxton Lawey,Negative,3.0,2020-10-01,Payments,Fort Worth,Texas,Call-Center,Within SLA,31,Los Angeles,California,TX,10,1
KVT-90174138-s-196612-ME,Sergio Henrique,Negative,6.0,2020-10-01,Billing Question,Iowa City,Iowa,Web,Above SLA,35,Chicago,Illinois,IA,10,1
RFE-19252806-z-028440-Jk,Matti Casiero,Neutral,8.0,2020-10-01,Billing Question,Colorado Springs,Colorado,Web,Within SLA,44,Chicago,Illinois,CO,10,1
LBL-15834063-C-868038-0g,Marrilee Petrushka,Very Negative,2.0,2020-10-01,Billing Question,Syracuse,New York,Web,Within SLA,41,Baltimore,Maryland,NY,10,1
ICY-50625989-Z-693479-MR,Grannie Garrick,Negative,5.0,2020-10-01,Payments,Des Moines,Iowa,Call-Center,Below SLA,27,Los Angeles,California,IA,10,1
WHE-54846155-S-556218-GN,Nerte Sanchiz,Positive,8.0,2020-10-01,Service Outage,Kansas City,Missouri,Chatbot,Below SLA,24,Baltimore,Maryland,MO,10,1
PZI-77635439-s-338949-2Z,Janella Wolfit,Neutral,6.0,2020-10-01,Service Outage,Milwaukee,Wisconsin,Chatbot,Within SLA,42,Chicago,Illinois,WI,10,1
VPF-49180254-q-824270-TZ,Sybille Bullock,Positive,9.0,2020-10-01,Service Outage,Hollywood,Florida,Web,Within SLA,34,Los Angeles,California,FL,10,1
UWP-01750787-f-022757-Qc,Osmond Grinnell,Negative,3.0,2020-10-01,Billing Question,Los Angeles,California,Call-Center,Below SLA,25,Baltimore,Maryland,CA,10,1
EAU-31752503-a-974593-fx,Kara Remnant,Negative,5.0,2020-10-01,Billing Question,Naperville,Illinois,Email,Within SLA,32,Denver,Colorado,IL,10,1
HOL-32852898-k-514229-nD,Curran Busfield,Negative,5.0,2020-10-01,Billing Question,Duluth,Georgia,Chatbot,Within SLA,18,Los Angeles,California,GA,10,1
APA-73810139-p-936303-wh,Enid Billingsley,Negative,5.0,2020-10-01,Service Outage,Oklahoma City,Oklahoma,Web,Within SLA,31,Baltimore,Maryland,OK,10,1
RRO-88623029-s-629929-0r,Charlena Pontain,Very Negative,3.0,2020-10-01,Billing Question,Battle Creek,Michigan,Email,Below SLA,33,Chicago,Illinois,MI,10,1
MHE-39085314-N-264189-nS,Shannon Coughlin,Very Negative,2.0,2020-10-01,Service Outage,Youngstown,Ohio,Chatbot,Within SLA,15,Los Angeles,California,OH,10,1
OWR-54541991-u-815590-Bz,Benedick Teesdale,Negative,5.0,2020-10-01,Service Outage,Decatur,Georgia,Chatbot,Within SLA,11,Chicago,Illinois,GA,10,1
NAO-13465655-6-996844-CX,Francklyn Wealthall,Negative,5.0,2020-10-01,Billing Question,Dallas,Texas,Web,Above SLA,34,Los Angeles,California,TX,10,1
ADD-29235481-v-379800-dd,Jemie Delos,Very Negative,2.0,2020-10-01,Billing Question,Springfield,Illinois,Email,Below SLA,25,Los Angeles,California,IL,10,1
MGG-04943730-M-884290-fb,Blair Dimmne,Neutral,8.0,2020-10-01,Payments,Bryan,Texas,Call-Center,Within SLA,41,Los Angeles,California,TX,10,1
RPP-60293281-o-767500-mx,Kala Wibrew,Neutral,6.0,2020-10-01,Billing Question,Green Bay,Wisconsin,Call-Center,Within SLA,32,Baltimore,Maryland,WI,10,1
LGB-05675390-l-084860-X7,Kikelia Checklin,Neutral,6.0,2020-10-01,Billing Question,Charlottesville,Virginia,Call-Center,Within SLA,9,Chicago,Illinois,VA,10,1
HXU-71575028-L-725367-7k,Rhiamon Skottle,Very Positive,9.0,2020-10-01,Billing Question,Scottsdale,Arizona,Web,Within SLA,22,Chicago,Illinois,AZ,10,1
ZPW-92477957-X-035777-Ue,Miller Lannen,Very Negative,1.0,2020-10-01,Billing Question,Washington,District of Columbia,Call-Center,Below SLA,35,Baltimore,Maryland,,10,1
EMR-34551711-1-753553-4I,Emalee Fivey,Positive,9.0,2020-10-01,Billing Question,Morgantown,West Virginia,Email,Within SLA,20,Los Angeles,California,WV,10,1
BXC-52919738-A-679051-jW,Ansel Van der Beken,Negative,5.0,2020-10-01,Billing Question,Flint,Michigan,Call-Center,Below SLA,33,Los Angeles,California,MI,10,1
PKP-11510548-6-052938-GM,Caro Buckberry,Very Negative,2.0,2020-10-01,Billing Question,Los Angeles,California,Email,Within SLA,16,Denver,Colorado,CA,10,1
DVC-66142639-9-991269-zC,Pauly Yekel,Negative,5.0,2020-10-01,Billing Question,Atlanta,Georgia,Chatbot,Within SLA,25,Los Angeles,California,GA,10,1
AIE-89204753-h-274978-dW,Alvin Marskell,Very Positive,9.0,2020-10-01,Billing Question,Tulsa,Oklahoma,Chatbot,Within SLA,20,Los Angeles,California,OK,10,1
AWD-49064186-J-092294-SA,Dannel Breem,Negative,5.0,2020-10-01,Payments,New York City,New York,Call-Center,Above SLA,10,Baltimore,Maryland,NY,10,1
CDO-88815023-V-105606-n9,Aldis Albasiny,Neutral,6.0,2020-10-01,Billing Question,Baltimore,Maryland,Call-Center,Within SLA,11,Los Angeles,California,MD,10,1
BNZ-95460784-N-281269-dQ,Francklyn Holworth,Very Negative,2.0,2020-10-01,Billing Question,Sacramento,California,Call-Center,Within SLA,32,Denver,Colorado,CA,10,1
WOT-24264539-j-299817-3r,Sibella Blazewicz,Very Negative,4.0,2020-10-01,Payments,New York City,New York,Call-Center,Within SLA,5,Denver,Colorado,NY,10,1
CQP-22521670-N-224919-1x,Karylin Holdren,Neutral,6.0,2020-10-01,Billing Question,Saint Louis,Missouri,Chatbot,Within SLA,9,Los Angeles,California,MO,10,1
YSU-70415659-v-184462-fv,Rosene Wolpert,Negative,5.0,2020-10-01,Billing Question,Scranton,Pennsylvania,Call-Center,Within SLA,22,Baltimore,Maryland,PA,10,1
BSJ-89559416-g-956928-iq,Viviyan Highton,Very Negative,1.0,2020-10-01,Billing Question,Clearwater,Florida,Call-Center,Above SLA,16,Baltimore,Maryland,FL,10,1
ZJR-79427856-V-180313-Zf,Ardella Mylan,Very Positive,9.0,2020-10-01,Billing Question,Evansville,Indiana,Chatbot,Below SLA,40,Los Angeles,California,IN,10,1
FJA-90189660-g-465369-fK,Rhetta Gilfoyle,Very Negative,2.0,2020-10-01,Billing Question,Boulder,Colorado,Web,Above SLA,17,Los Angeles,California,CO,10,1
KUQ-02761426-f-954710-4l,Saundra D'Antuoni,Negative,5.0,2020-10-01,Payments,Tulsa,Oklahoma,Call-Center,Below SLA,34,Los Angeles,California,OK,10,1
ZVN-29580285-K-231940-mo,Tiebold Westgarth,Positive,8.0,2020-10-01,Billing Question,Savannah,Georgia,Email,Within SLA,18,Los Angeles,California,GA,10,1
TFS-37291006-D-016390-mB,Tybie Swainston,Neutral,6.0,2020-10-01,Billing Question,Boston,Massachusetts,Call-Center,Within SLA,35,Los Angeles,California,MA,10,1
FYD-05343780-2-931003-wW,Ransom Orcas,Very Positive,9.0,2020-10-01,Service Outage,Santa Ana,California,Email,Within SLA,9,Chicago,Illinois,CA,10,1
MCB-24432192-H-756489-oj,Hadria Jeyness,Negative,5.0,2020-10-01,Billing Question,Atlanta,Georgia,Web,Above SLA,13,Baltimore,Maryland,GA,10,1
ELF-88170210-v-503416-cA,Milli Blondelle,Neutral,6.0,2020-10-01,Billing Question,Orlando,Florida,Web,Above SLA,15,Baltimore,Maryland,FL,10,1
NAG-80338749-Y-469020-o7,Curtice Elcombe,Very Negative,2.0,2020-10-01,Service Outage,Bakersfield,California,Web,Within SLA,45,Los Angeles,California,CA,10,1
ATR-16488056-5-951912-cF,Carissa Sargood,Positive,8.0,2020-10-01,Billing Question,Mountain View,California,Call-Center,Within SLA,6,Los Angeles,California,CA,10,1
YDU-34799261-Q-419842-pj,Patty Dowrey,Neutral,7.0,2020-10-01,Billing Question,Lawrenceville,Georgia,Email,Below SLA,14,Chicago,Illinois,GA,10,1
JOQ-31632395-w-387484-Fl,Norry Boulton,Very Positive,9.0,2020-10-01,Billing Question,Las Vegas,Nevada,Chatbot,Above SLA,30,Los Angeles,California,NV,10,1
KGZ-02307451-u-650786-ha,Tab McCritchie,Negative,6.0,2020-10-01,Billing Question,Spokane,Washington,Email,Within SLA,21,Chicago,Illinois,WA,10,1
FBV-62269702-k-958235-nc,Boote Faldoe,Positive,8.0,2020-10-01,Billing Question,Elmira,New York,Email,Below SLA,25,Baltimore,Maryland,NY,10,1
SHC-05437326-f-827281-3x,Morey Wake,Very Positive,9.0,2020-10-01,Payments,Orlando,Florida,Call-Center,Within SLA,9,Los Angeles,California,FL,10,1
SDN-27020445-8-027147-KV,Gabie Sorbie,Negative,5.0,2020-10-01,Billing Question,Pueblo,Colorado,Call-Center,Within SLA,30,Baltimore,Maryland,CO,10,1
GOM-95929333-R-456416-0e,Vaughn Beamond,Negative,5.0,2020-10-01,Service Outage,Springfield,Illinois,Email,Within SLA,36,Chicago,Illinois,IL,10,1
WOF-83259800-L-335734-VH,Adrian Henfre,Neutral,6.0,2020-10-01,Service Outage,Nashville,Tennessee,Email,Below SLA,6,Chicago,Illinois,TN,10,1
JLR-67371748-C-014258-56,Wallas Wagner,Negative,5.0,2020-10-01,Billing Question,Saint Louis,Missouri,Web,Above SLA,17,Los Angeles,California,MO,10,1
ABJ-07188852-S-895716-7C,Damian Poolton,Neutral,6.0,2020-10-01,Billing Question,El Paso,Texas,Call-Center,Below SLA,9,Baltimore,Maryland,TX,10,1
UUL-65969766-G-617393-j3,Miquela Gullam,Very Negative,3.0,2020-10-01,Billing Question,Tucson,Arizona,Call-Center,Within SLA,24,Los Angeles,California,AZ,10,1
PPQ-91927987-T-819412-yK,Alexander Hutchason,Negative,4.0,2020-10-01,Service Outage,El Paso,Texas,Web,Within SLA,23,Los Angeles,California,TX,10,1
PNC-61400096-l-473940-JW,Trix Vise,Negative,5.0,2020-10-01,Service Outage,Charlotte,North Carolina,Chatbot,Below SLA,14,Los Angeles,California,NC,10,1
VIV-27148257-O-130381-fG,Iolande Varns,Very Negative,2.0,2020-10-01,Service Outage,Young America,Minnesota,Chatbot,Within SLA,28,Chicago,Illinois,MN,10,1
WXL-43025492-m-077458-m7,Karena Clappson,Neutral,6.0,2020-10-01,Billing Question,Hialeah,Florida,Email,Within SLA,28,Los Angeles,California,FL,10,1
GMJ-47868357-5-813105-cO,Tallie Valentinuzzi,Negative,5.0,2020-10-01,Billing Question,Omaha,Nebraska,Web,Below SLA,45,Denver,Colorado,NE,10,1
